Symbol,Name,Sector,Market Cap Type,AVG CLOSING PRE 08,STD PRE 08,KURTOSIS PRE 08,ENTROPY PRE 08,25TH PERCENTILE PRE 08,50TH PERCENTILE PRE 08,75TH PERCENTILE PRE 08,MIN PRE 08,MAX PRE 08,% Change Pre-During 08,AVG CLOSING DURING 08,STD DURING 08,KURTOSIS DURING 08,ENTROPY DURING 08,25TH PERCENTILE DURING 08,50TH PERCENTILE DURING 08,75TH PERCENTILE DURING 08,MIN DURING 08,MAX DURING 08,% Change During-Post 08,AVG CLOSING POST 08,STD POST 08,KURTOSIS POST 08,ENTROPY POST 08,25TH PERCENTILE POST 08,50TH PERCENTILE POST 08,75TH PERCENTILE POST 08,MIN POST 08,MAX POST 08,AVG CLOSING PRE COVID,STD PRE COVID,KURTOSIS PRE COVID,ENTROPY PRE COVID,25TH PERCENTILE PRE COVID,50TH PERCENTILE PRE COVID,75TH PERCENTILE PRE COVID,MIN PRE COVID,MAX PRE COVID,% Change Pre-During COVID,AVG CLOSING DURING COVID,STD DURING COVID,KURTOSIS DURING COVID,ENTROPY DURING COVID,25TH PERCENTILE DURING COVID,50TH PERCENTILE DURING COVID,75TH PERCENTILE DURING COVID,MIN DURING COVID,MAX DURING COVID
GOOG,Google Inc.,Communication Services,Mega Cap Stock,259.5617131,34.82751458,0.9801650261432204,5.516947762545796,234.635,249.81,267.66499999999996,218.52,369.51,-10.78885195,231.5579842,50.0206291,-0.7499123240361083,5.5092114206199225,194.52,236.01,271.58,128.24,341.39,12.3944717,260.258373,26.87882987,-0.8945502543941775,5.524057882383717,237.83249999999998,264.78499999999997,282.0725,197.57,312.2,1188.393056,81.76537952,-0.6809374599524824,5.5270831494302595,1121.5275,1185.01,1240.0175,1016.06,1361.17,10.31702617,1310.999878,131.9877308,-0.9893988100232254,4.401664851211717,1215.4475000000002,1333.065,1405.855,1056.62,1526.69
ORCL,Oracle Corporation,Technology,Large Cap Stock,16.63139442,1.394272874,-0.7710751236245931,5.5219556833485095,15.46,16.68,17.585,14.12,19.86,4.22428889,17.33395257,1.794586931,-0.8520496214148432,5.52794977489203,16.29,17.57,18.78,13.35,20.38,16.51873112,20.19730159,1.4901155940000002,-1.0244837418292576,5.526736525456537,19.0675,19.83,21.56,17.53,23.21,53.01702381,2.67898184,0.8907434549515161,5.528144597162123,51.61,53.075,54.5775,43.63,59.1,-3.286011993,51.27487805,3.291262373,1.1284250450318467,4.404626446130266,49.5675,52.27,53.56,39.61,55.47
INTC,Intel Corporation,Technology,Mega Cap Stock,15.522549800000002,1.679055887,-1.3362518808121946,5.5196172556852945,14.05,15.15,17.185000000000002,12.72,18.8,-10.97663831,13.81869565,2.317375422,-0.7193136446825417,5.518653156751365,12.05,14.38,15.52,8.59,17.33,7.042124446,14.791825400000002,1.196644978,0.4499889475204566,5.526165603527123,14.0375,14.625,15.427499999999998,11.41,17.73,50.27765873,4.445270515,-0.9516175038301428,5.525561378224671,46.415,50.08,52.9925,42.48,59.45,15.87069613,58.25707317,5.465332377,0.019050377802579455,4.402283900994507,55.2875,58.68,61.6375,44.36,67.08
QCOM,QUALCOMM Incorporated,Technology,Large Cap Stock,29.73545817,1.724384902,-1.0562751835421946,5.523770099263673,28.195,30.09,31.075,26.06,33.46,5.37412299,31.33347826,4.647672629,-0.424374422365017,5.522458275834897,28.48,30.77,34.41,21.5,41.36,1.359206964,31.75936508,2.988003436,-1.0350965953354108,5.524961851362259,29.295,32.135,34.23,24.92,37.17,69.44496032,12.52940874,-1.120660162442234,5.512699382533484,55.1075,72.675,78.61500000000001,46.9,91.86,9.809369639,76.25707317,7.359894237000001,-0.3829388697614058,4.40208659790605,72.3125,77.06,79.325,60.44,90.3
PEP,"Pepsico, Inc.",Consumer Defensive,Large Cap Stock,45.59629482,2.734884315,-0.5099888084385245,5.523683947606387,43.37,45.08,46.864999999999995,41.52,52.79,0.423006169,45.78916996,4.505441739,-0.3966093780292388,5.5284111138664285,44.82,47.18,48.82,35.19,54.7,-2.324151418,44.72496032,2.64097765,-0.9017744112659112,5.527684843857216,42.6875,44.735,46.9075,39.22,49.1,124.2355952,9.698500482,-0.6841617938507407,5.5263270612448565,117.61,127.28,132.575,102.73,137.3,5.6659774889999985,131.2747561,9.070418917000001,0.9197039986463178,4.404305164454336,129.1725,131.76,136.41750000000002,103.13,144.88
CSCO,"Cisco Systems, Inc.",Technology,Large Cap Stock,21.86390438,1.778475272,-0.8831112495146631,5.5222080684575,20.41,21.19,23.095,19.4,26.13,-21.15128747,17.23940711,2.617989362,-0.6269690815984088,5.521293630943002,16.26,18.11,19.11,11.1,21.12,5.297925703,18.1527381,1.446509758,0.738404052075587,5.526226737131962,17.4675,18.155,18.75,13.9,21.14,49.20484127,4.200787677,-1.1543790767888649,5.525797496385153,45.7875,48.349999999999994,53.2825,39.58,56.66,-14.6442804,41.99914634,3.695680228,-0.3025569773565566,4.402861239699228,39.67,41.75,44.790000000000006,32.89,49.46
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Mega Cap Stock,63.06322709,20.39602305,-1.5377844564207248,5.471708635875455,39.64,68.89,79.47999999999999,36.43,100.82,10.80948874,69.88003953,12.93945457,-0.19898615581486734,5.515061328892026,63.47,73.95,79.26,35.03,96.25,65.01578422,115.3130952,20.92933864,-1.2109573734352157,5.512306479585755,92.185,122.75999999999999,131.29500000000002,75.63,150.09,1789.1892059999998,101.313649,-0.23770416660476054,5.527829200428351,1735.8450000000003,1786.45,1855.32,1500.28,2020.99,19.37185889,2135.788415,229.03050130000003,-1.3706096138264765,4.401013069915632,1928.0475000000001,2134.39,2371.5125,1676.61,2497.94
ABT,Abbott Laboratories,Healthcare,Large Cap Stock,15.44613546,0.852033688,0.3109449887643634,5.523917263354894,15.024999999999999,15.51,16.045,13.06,17.07,8.557539907,16.76794466,0.7960221820000001,-0.938881031937254,5.532266648295186,16.18,16.59,17.41,15.08,18.32,0.818311778,16.90515873,1.3566223780000002,-1.1714091538500624,5.526176164633961,15.92,17.195,18.06,14.3,19.03,79.37626984,5.268586032,-0.3982582591571995,5.52719964005748,75.64,80.86500000000001,83.55,64.59,87.64,7.837107163,85.59707317,7.620379837000001,-0.1594817062382381,4.402710720040941,79.41499999999999,88.155,91.365,62.56,98.0
MCD,McDonald&#39;s Corporation,Consumer Cyclical,Large Cap Stock,33.04996016,3.356716431,-0.8639385077066959,5.520373444131278,29.765,32.88,34.735,27.97,39.97,21.35215217,40.10683794,2.423902034,-0.8110826333444336,5.531570347961483,38.26,40.02,41.83,34.61,45.58,13.31262558,45.44611111,4.041767585,-1.2654177640426345,5.5254832430657554,41.137499999999996,45.755,49.11,38.91,52.4,193.32115080000003,13.07102863,-1.0192545343238952,5.5271418488030175,183.47750000000002,192.985,205.81750000000002,167.7,215.83,-4.804808854,184.032439,19.464478600000003,-0.3181156623496113,4.4011253140983,175.47750000000002,182.78500000000003,198.37,136.19,214.68
SLB,Schlumberger N.V.,Energy,Large Cap Stock,60.09904382,11.17670538,-1.2136820595796305,5.508218543272587,48.685,58.9,69.205,41.55,82.96,1.854198193,61.21339921,15.66422616,-0.6535800086192771,5.49733854470721,55.06,65.31,73.86,28.29,81.84,-23.01924041,47.12253968,4.033205291,-0.5202256748379024,5.525735680840284,44.005,47.870000000000005,49.86750000000001,37.2,55.89,36.89496032,3.62302019,-0.9325619319336184,5.524597481386732,34.005,36.980000000000004,39.912499999999994,29.64,44.42,-45.09528403,20.25707317,7.375586603999999,-0.6643364082440297,4.3464285060316215,15.282499999999999,16.835,26.6525,11.97,34.81
BAC,Bank of America Corporation,Financial Services,Mega Cap Stock,39.77151394,1.7031559230000002,1.9365047614776465,5.524520884396759,39.150000000000006,40.07,40.989999999999995,33.68,42.39,-35.11772253,25.80466403,7.087686532,-0.7471935673729284,5.492221345632032,20.37,27.86,31.45,9.71,36.74,-44.63456272,14.28686508,1.320961897,0.6520912536181421,5.525061931014851,13.605,14.37,15.1575,10.49,17.28,28.81630952,2.315779982,0.43482490384953376,5.526276648528092,27.3875,28.28,29.58,23.7,35.05,-13.22072195,25.00658537,4.837364658,-0.4714440655539174,4.389157328564337,21.72,22.845,27.8525,17.95,34.46
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Mega Cap Stock,26.32099602,2.410496921,0.34611068745671103,5.521109471680164,25.125,27.2,27.98,19.64,29.43,-28.41330167,18.84233202,2.0254408930000003,-0.5611297005131246,5.527493138144711,17.51,19.22,20.42,13.74,22.38,20.84407201,22.76984127,2.746676799,-0.7835636202901819,5.5222449083313405,20.85,22.104999999999997,25.3575,17.17,28.65,201.9249603,19.27400842,-1.1802327880364902,5.5248703140087665,184.91,202.77499999999998,217.2725,162.08,234.36,6.55419313,215.1595122,24.79738103,-0.3609488431381887,4.399922871343541,197.8725,222.25,236.4775,151.25,247.01
DIS,Walt Disney Company (The),Communication Services,Mega Cap Stock,28.66685259,0.730925478,1.1540333192059808,5.525126879841879,28.32,28.72,29.11,26.22,30.26,-12.11841169,25.19288538,3.404600992,-0.20099189550032914,5.523775243589811,24.2,26.5,27.51,15.89,29.68,5.258364226,26.51761905,3.2248507,-0.7885229827706666,5.5219692785922625,24.18,26.549999999999997,29.1225,19.15,32.72,129.66023810000002,12.90967073,-1.066019248578823,5.524400762078563,113.54249999999999,132.29500000000002,138.795,105.05,150.74,-13.37557244,112.317439,15.98450197,-0.5747709698731356,4.396969866402249,101.0625,106.13499999999999,119.735,85.76,144.73
OXY,Occidental Petroleum Corporation,Energy,Large Cap Stock,34.10310757,5.036309354,-0.9122057051589412,5.514751167555758,30.03,33.55,37.615,26.24,45.49,31.78785789,44.94375494,8.543798719,-0.7151140591857272,5.5145985647919336,40.01,46.91,51.03,25.52,60.83,13.28568638,50.91484127,3.858480025,1.086150185472559,5.526482869574075,49.3775,51.62,53.337500000000006,38.05,58.26,48.51130952,8.832036548,-1.4224633155013815,5.513030561576661,40.480000000000004,46.94,58.89750000000001,35.89,62.83,-58.08043133,20.33573171,11.16268995,-0.7664235067731591,4.2736023690837515,12.9525,14.375,31.535,9.68,41.68
AXP,American Express Company,Financial Services,Large Cap Stock,48.22780876,2.078404094,-0.6975843663984733,5.524529541351086,46.715,48.02,49.614999999999995,43.41,53.02,-35.66723146,31.02628458,7.77726242,-0.6092221807477642,5.498917100898463,26.7,33.33,36.9,14.21,41.93,4.187390217,32.32547619,4.649677127,0.34153006470374603,5.518608877083914,29.1775,33.485,35.36,18.91,41.38,114.6617857,7.993220807,-0.1330570806891176,5.5269584622356245,109.1075,116.63,120.07749999999999,91.63,126.93,-14.54411486,97.9852439,19.38226491,-0.6411763813383207,4.388203834960092,84.0025,89.72,110.0775,68.58,136.17
COP,ConocoPhillips,Energy,Large Cap Stock,35.49804781,3.801662449,-1.3719039766040428,5.519731334319661,31.92,36.33,38.68,28.63,42.41,1.939915222,36.18667984,6.94383037,-0.7433282469671587,5.513944680694784,33.26,38.13,40.64,20.61,46.29,-27.80624273,26.12452381,2.524691329,-0.4117504400125518,5.5247062117588355,24.05,26.525,27.615,20.0,31.51,59.52301587,4.541646992,-0.7581745976774892,5.526509892927315,56.6425,59.269999999999996,63.525,49.2,68.25,-31.18997034,40.95780488,10.23175329,-0.9231721218954734,4.3761413293301565,32.879999999999995,40.3,47.5375,22.45,58.75
MO,Altria Group,Consumer Defensive,Large Cap Stock,10.51956175,0.574875471,-0.7927762530573017,5.523961739548549,9.765,10.42,10.675,9.18,11.9,2.284126943,10.7598419,1.147682955,0.6975862546540923,5.527425695327316,10.28,10.8,11.27,7.55,12.27,5.032669757,11.30134921,0.983618292,-1.142571352557786,5.525624122244023,10.17,11.21,11.9,9.05,12.69,45.93103175,3.492479417,-0.5447858301659738,5.526534061078144,42.81,45.055,47.1825,37.59,52.24,-14.25877501,39.38182927,3.2169892860000004,-0.23853515199407704,4.4034207797416345,36.485,38.22,40.135,29.89,44.44
CAT,"Caterpillar, Inc.",Industrials,Large Cap Stock,48.71418327,4.990840373,-1.1346158766052925,5.520176337349511,44.2,49.81,52.955,39.29,59.25,-7.689106112,44.96849802,10.441549900000002,-0.7289672043212572,5.5042478701695945,39.61,48.17,52.33,23.03,58.96,-8.827709784,40.99880952,6.529426142,0.8568041228378744,5.5158902065465805,37.927499999999995,42.54,44.6875,21.79,53.25,129.1657143,8.634392587,-0.6412678826007401,5.527203384725759,123.335,128.865,134.73749999999998,110.7,146.12,-10.097338699999998,116.1234146,12.0241767,-0.6405388085264616,4.401419965503711,108.0925,115.0,123.73,91.01,138.45
CVS,CVS Corporation,Healthcare,Large Cap Stock,28.65075697,2.656551566,-0.7693787330652189,5.521143593996334,26.36,29.09,30.31,22.75,33.75,2.13803491,29.26332016,4.013795957,-0.7425984196389321,5.523619881711387,26.22,30.57,32.29,19.65,35.35,-5.169355056000001,27.75059524,1.802301551,-1.042114194684865,5.527314730263171,26.25,27.93,29.302500000000002,23.46,30.82,59.54698413,7.308143988999999,-0.7102598053665798,5.522080411067161,53.02,58.980000000000004,63.325,50.03,75.44,4.564694357,62.26512195,5.122341344,-0.2964810138036813,4.403394257193791,58.9775,62.06,63.837500000000006,51.87,73.24
BA,Boeing Company (The),Industrials,Large Cap Stock,68.26342629,3.89799387,-0.8185467197124976,5.523837898348197,64.75,68.13,70.97,61.23,77.44,-28.52676506,48.79007905,10.9656541,-1.0627856256029276,5.506803845899081,40.98,50.03,58.09,27.62,63.93,-8.452228348,44.66623016,7.933025859,-1.1149852854640487,5.513578737764722,39.107499999999995,43.105,51.362500000000004,29.64,58.85,358.7750794,23.06635226,0.7340978083998011,5.527397752646304,342.845,356.19,369.82500000000005,302.1,430.3,-46.69498163,191.245122,83.84615975,-0.9983877045972194,4.318850648144891,130.85,146.425,279.2425,95.01,345.4
UPS,"United Parcel Service, Inc.",Industrials,Large Cap Stock,49.50071713,1.610478775,-1.0684211072657404,5.524924833346668,48.12,49.6,50.9,46.41,52.82,-10.14519126,44.4787747,5.000593187,-0.7656572227499612,5.526909568108749,40.83,45.66,48.9,31.07,51.26,-4.008878644,42.6956746,3.730833188,-0.3657107727946705,5.525635905075946,40.11749999999999,42.275000000000006,45.5325,34.12,51.81,106.793254,8.633692901,-1.2318941761397677,5.5261499177873565,99.23,108.28999999999999,114.51249999999999,89.41,121.24,-10.34968573,95.7404878,4.887187306,-0.8372218813488526,4.405431725184664,91.95500000000001,95.43,99.6875,85.28,104.62
AMGN,Amgen Inc.,Healthcare,Large Cap Stock,48.07059761,5.357178291,-0.5782399202684338,5.519402377741643,44.66,46.15,51.58,39.6,61.29,-14.03922613,41.32185771,6.103369037,-1.3315008497354188,5.522633281510706,35.75,39.25,46.88,32.3,53.24,12.51107585,46.49166667,2.1048200230000003,-0.17404142267775047,5.528404380776048,45.355,46.4,48.08,40.69,52.04,190.4257143,19.70653567,0.2429231818929041,5.52425096069158,176.875,184.675,199.23250000000002,161.66,239.86,14.3831225,217.814878,14.99032735,-0.7088348394800432,4.4043491324130235,206.57000000000002,221.375,229.35750000000002,181.01,241.11
UNP,Union Pacific Corporation,Industrials,Large Cap Stock,18.20394422,1.997065643,-1.0577118007365476,5.519371036207083,16.425,18.79,19.63,14.51,21.74,26.02446285,22.94142292,3.49546548,-0.8915475514644209,5.521592470585232,20.61,22.48,25.83,15.09,29.26,4.979061478,24.08369048,2.653384419,-0.7710720490276404,5.523364186169604,22.1175,23.72,26.755,17.67,28.8,164.1250794,8.178990893,2.408725055143683,5.5281676153592425,160.52,164.555,169.8825,128.31,179.34,-5.7067310870000005,154.7589024,17.57639516,-0.3997086069860338,4.4002756777022265,143.9375,155.22,164.885,113.4,183.99
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Large Cap Stock,176.9183267,13.79331016,-0.13697188737303678,5.522370759444195,168.14,178.66,188.26,138.63,208.75,-27.34440259,128.5410672,35.75926448,-0.4796770930895837,5.48960602594642,104.06,143.19,152.51,44.16,175.26,8.905408722,139.9881746,12.26530288,-0.7524331263523125,5.525567303699333,132.285,140.865,149.84,113.4,164.97,199.6159127,12.99625363,-0.15240535105524433,5.527319451952241,191.16,196.88,209.595,164.05,228.38,-6.68359665,186.2743902,28.3219147,-0.6532412212914473,4.395457733500793,171.05,179.13,202.92,134.13,241.31
EBAY,eBay Inc.,Consumer Cyclical,Large Cap Stock,13.7861753,0.984479006,0.5398594657725124,5.522959911534502,13.16,13.66,14.08,11.77,16.7,-27.29240256,10.02359684,2.579539785,-0.8575573073471539,5.497314233738456,8.2,10.86,12.0,4.59,13.55,-5.52056065,9.470238095,0.89476874,1.849976741672812,5.524859684688512,9.1,9.48,9.8525,6.54,11.33,36.58960317,2.6266384080000003,1.166086754596356,5.526798463190532,35.2875,36.455,38.775,27.67,40.93,-0.23988756,36.50182927,4.456477635,-0.5137317551532394,4.3992238647254185,33.92999999999999,36.925,39.42,26.24,45.54
HPQ,Hewlett-Packard Company,Technology,Large Cap Stock,13.14215139,1.218151449,-1.2085839161863638,5.5211902645623425,12.03,13.16,14.14,11.17,15.61,-2.66361665,12.79209486,1.4113330830000002,-0.04584795729166169,5.527048284345229,12.28,13.3,13.84,8.7,14.56,14.22760175,14.61210317,1.243988549,0.18777981305699545,5.5257350924652995,13.9375,14.67,15.64,11.11,16.61,19.12698413,1.395172822,0.12955141081721375,5.5267782473775435,18.255,19.085,20.0425,15.59,22.68,-9.553779982,17.29963415,3.003951901,-1.298625430689124,4.392191700711051,14.85,15.89,20.9825,12.98,22.91
LLY,Eli Lilly and Company,Healthcare,Large Cap Stock,34.24968127,1.680840474,-1.3104502706435974,5.524251877505907,32.769999999999996,34.46,35.66,30.86,37.2,-14.81632163,29.17513834,4.0802631410000005,-0.2972337096557225,5.523103640549191,28.26,30.65,31.7,19.62,35.94,-17.57088092,24.04880952,1.077852821,-1.1041601807302204,5.528427256865475,23.1825,24.15,24.8425,22.15,26.01,114.15833329999998,6.134810446,0.05067825520541014,5.528010037704886,109.925,112.86500000000001,116.72250000000001,104.55,131.13,26.30585462,144.1886585,10.48841627,-0.5337887568300661,4.404076977178502,138.7925,142.68,152.94,118.49,162.17
CL,Colgate-Palmolive Company,Consumer Defensive,Large Cap Stock,21.74318725,1.356803376,1.618790875335943,5.523571533757807,20.925,21.3,21.9,20.13,26.03,10.29723522,23.98213439,1.796774057,-0.3457600118708264,5.530531071030792,22.9,24.45,25.43,18.6,26.82,19.06052025,28.55325397,1.818767732,-0.9628555208721056,5.527380490231137,27.01,29.0,30.1725,24.86,31.09,67.60019841,3.639191764,0.06111688455749231,5.527965907172521,65.55749999999999,67.815,70.4125,56.82,74.19,3.807243302,70.17390244,3.88626634,0.3334164838105784,4.4051847220570215,68.55250000000001,70.24000000000001,72.38250000000001,59.53,76.88
EPD,Enterprise Products Partners L.P.,Energy,Large Cap Stock,4.546533865,0.293854961,-0.5929385504143383,5.523346396135675,4.365,4.58,4.77,3.94,5.03,2.768641044,4.672411067,0.515278586,0.12847515909532836,5.52704873358859,4.41,4.89,5.04,3.13,5.41,44.09048997,6.7325,0.903559418,-1.2696568136104878,5.52040316907781,5.91,6.8,7.535,4.94,8.19,26.30940476,0.982409857,0.6258536710263698,5.5287303024783006,25.67,26.490000000000002,26.942500000000003,22.5,28.49,-29.59626018,18.52280488,4.197961961,-1.1091169063383906,4.381904542632879,15.235,17.205,22.979999999999997,11.95,25.82
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Large Cap Stock,65.01808765,12.0142073,-0.05809799982278641,5.5091914949059335,56.2,61.27,70.655,48.57,96.41,-48.61569739,33.40909091,19.2636195,-1.2571891085973832,5.32920986691868,20.89,34.76,50.75,2.15,66.91,-64.64071914,11.81321429,3.127669662,-0.2704677003800473,5.493016137964853,10.22,11.344999999999999,14.22,4.44,18.03,57.54857143,4.371506749,-0.4189386655513592,5.526580905163882,54.21,56.64,60.8425,48.67,68.57,-12.17768478,50.5404878,8.816772862999999,-0.4616494008528855,4.392259267976774,44.78,47.9,55.800000000000004,37.68,69.74
